Nom de la région,Code département,Nom de la commune,population_2016,Code INSEE
Nouvelle-Aquitaine,33,Créon,4711.0,33140.0
Auvergne-Rhône-Alpes,38,Flachères,525.0,38167.0
Bourgogne-Franche-Comté,39,Boissia,128.0,39061.0
Nouvelle-Aquitaine,40,Labouheyre,2779.0,40134.0
Auvergne-Rhône-Alpes,42,Sainte-Foy-Saint-Sulpice,529.0,42221.0
Pays de la Loire,44,Touvois,1820.0,44206.0
Nouvelle-Aquitaine,47,Cuzorn,868.0,47077.0
Nouvelle-Aquitaine,47,Saint-Martin-Petit,576.0,47257.0
Normandie,50,Servon,282.0,50574.0
Grand Est,51,Magneux,286.0,51337.0
Grand Est,51,Saint-Utin,84.0,51520.0
Pays de la Loire,53,Villaines-la-Juhel,2899.0,53271.0
Grand Est,55,Ranzières,81.0,55415.0
Hauts-de-France,59,Jolimetz,889.0,59325.0
Hauts-de-France,59,Marcq-en-Barœul,39697.0,59378.0
Hauts-de-France,62,Boffles,53.0,62143.0
Auvergne-Rhône-Alpes,63,Saint-Yvoine,600.0,63404.0
Nouvelle-Aquitaine,64,Escoubès,411.0,64208.0
Occitanie,66,Corbère-les-Cabanes,1112.0,66056.0
Bourgogne-Franche-Comté,70,Franchevelle,423.0,70250.0
Bourgogne-Franche-Comté,70,Montessaux,170.0,70361.0
Pays de la Loire,72,Doucelles,253.0,72120.0
Pays de la Loire,72,Sougé-le-Ganelon,923.0,72337.0
Auvergne-Rhône-Alpes,73,Loisieux,201.0,73147.0
Grand Est,55,Dommartin-la-Montagne,51.0,55157.0
Grand Est,55,Girauvoisin,73.0,55212.0
Hauts-de-France,59,Dimont,326.0,59175.0
Auvergne-Rhône-Alpes,63,Aurières,324.0,63020.0
Auvergne-Rhône-Alpes,63,La Chapelle-sur-Usson,68.0,63088.0
Occitanie,65,Troubat,74.0,65453.0
Grand Est,67,Obernai,11461.0,67348.0
Grand Est,68,Bernwiller,1189.0,68006.0
Bourgogne-Franche-Comté,70,Chariez,212.0,70134.0
Bourgogne-Franche-Comté,71,Bissy-sous-Uxelles,71.0,71036.0
Pays de la Loire,72,Coulombiers,482.0,72097.0
Pays de la Loire,72,Marçon,1067.0,72183.0
Pays de la Loire,72,René,382.0,72251.0
Pays de la Loire,72,Terrehault,133.0,72352.0
Auvergne-Rhône-Alpes,73,Saint-Jean-de-Chevelu,822.0,73245.0
Auvergne-Rhône-Alpes,74,Hauteville-sur-Fier,951.0,74141.0
Île-de-France,75,Paris 1er Arrondissement,16388.0,75101.0
Hauts-de-France,02,Domptin,674.0,2268.0
